section,question_number,main_question,full_question,sub_question,option_1,option_2,option_3,option_4,correct_option,feedback_1,feedback_2,feedback_3,feedback_4,min_value,max_value,solution,image_url,units,question_type
Impulse Momentum,9,Impulse Momentum 8,Two football players collide at right angles: a 90 kg ball carrier runs north at 10 m/s and a 115 kg defender runs east at 8 m/s. They stick together on impact assume negligible external horizontal impulse.,What is the total kinetic energy before impact?, $ 4042 $ , $ 5120 $ , $ 6400 $ , $ 8180 $ ,4,That s the *after* value (rounded).,Too low.,Too low.,Correct $ 0.5(90\cdot10^2)+0.5(115\cdot8^2)=8180 $ .,4137,4140,"**1) Which equation would you use to calculate momentum?**
Use linear momentum: $  p = m v. $ --- 
**2) What is the momentum of the ball carrier?**
 $p_{\text{carrier}} = (90)(10) = 900\text{kg\cdot \text{m/s}} \text{(north)}.$ --- 
**3) What is the momentum of the defensive player?**
 $ p_{\text{defender}} = (115)(8) = 920\text{kg\cdot \text{m/s}}\text{(east)}. $ --- 
**4) How do you find the resultant momentum magnitude before impact?** 
Momenta are at right angles, so use the Pythagorean theorem: $ | p|=\pm\sqrt{900^2+920^2}. $ --- 
**5) What is the magnitude of the momentum before impact?**
 $ | p|=\pm\sqrt{810{,}000+846{,}400} =\sqrt{1{,}656{,}400} \approx 1.287\times 10^3\text{kg\cdot \text{m/s}}. $ --- 
**6) What is the magnitude of the momentum after impact?** 
They stick together and horizontal external impulse is negligible momentum is conserved: $ | p_f|=| p_i|\approx 1.287\times 10^3\text{kg\cdot \text{m/s}}. $ --- 
**7) Which equation finds the common final speed after they stick?**
 $ v_f=\frac{| p|}{m_1+m_2}. $ --- 
**8) What is the final speed of the combined players?**
 $ v_f=\frac{1.287\times10^3}{90+115} =\frac{1.287\times10^3}{205} \approx 6.28~\text{m/s}. $ --- 
**9) Which equation would you use for total kinetic energy before impact?**
 $ K_i=\tfrac{1}{2} m_1 v_1^2+\tfrac{1}{2} m_2 v_2^2. $ --- 
**10) What is the total kinetic energy before impact?**
 $ K_i=\tfrac{1}{2}(90)(10^2)+\tfrac{1}{2}(115)(8^2) =4500+3680 =8180\text{J}. $ --- 
**11) Which equation would you use for total kinetic energy after impact?**
 $ K_f=\tfrac{1}{2} (m_1+m_2), v_f^2. $ --- 
**12) What is the total kinetic energy after impact?**
 $ K_f=\tfrac{1}{2}(205)(6.28^2)\approx 4.04\times10^3\text{J}. $ --- 
**13) How much energy was absorbed at impact?**
 $ \Delta E = K_i-K_f = 8180-4040 \approx 4.14\times10^3\text{J}. $ 
**Answer:** The combined players move at about **6.28 m/s**, and approximately ** $ 4.14\times10^3 $ J** of energy is absorbed in the collision.",,J,Substitute & Calculate
Impulse Momentum,9,Impulse Momentum 8,Two football players collide at right angles: a 90 kg ball carrier runs north at 10 m/s and a 115 kg defender runs east at 8 m/s. They stick together on impact assume negligible external horizontal impulse.,Which equation would you use for total kinetic energy after impact?, $ K_f=\tfrac{1}{2} m_1v_1^2+\tfrac{1}{2} m_2v_2^2 $ , $ K_f=\tfrac{1}{2}(m_1+m_2)v_f^2 $ , $ K_f=m_1v_1+m_2v_2 $ , $ K_f=\dfrac{|\vec{p}|}{m_1+m_2} $ ,2,That s the *before* formula.,Correct.,This is momentum.,"This gives speed, not energy.",4137,4140,"**1) Which equation would you use to calculate momentum?**
Use linear momentum: $  p = m v. $ --- 
**2) What is the momentum of the ball carrier?**
 $p_{\text{carrier}} = (90)(10) = 900\text{kg\cdot \text{m/s}} \text{(north)}.$ --- 
**3) What is the momentum of the defensive player?**
 $ p_{\text{defender}} = (115)(8) = 920\text{kg\cdot \text{m/s}}\text{(east)}. $ --- 
**4) How do you find the resultant momentum magnitude before impact?** 
Momenta are at right angles, so use the Pythagorean theorem: $ | p|=\pm\sqrt{900^2+920^2}. $ --- 
**5) What is the magnitude of the momentum before impact?**
 $ | p|=\pm\sqrt{810{,}000+846{,}400} =\sqrt{1{,}656{,}400} \approx 1.287\times 10^3\text{kg\cdot \text{m/s}}. $ --- 
**6) What is the magnitude of the momentum after impact?** 
They stick together and horizontal external impulse is negligible momentum is conserved: $ | p_f|=| p_i|\approx 1.287\times 10^3\text{kg\cdot \text{m/s}}. $ --- 
**7) Which equation finds the common final speed after they stick?**
 $ v_f=\frac{| p|}{m_1+m_2}. $ --- 
**8) What is the final speed of the combined players?**
 $ v_f=\frac{1.287\times10^3}{90+115} =\frac{1.287\times10^3}{205} \approx 6.28~\text{m/s}. $ --- 
**9) Which equation would you use for total kinetic energy before impact?**
 $ K_i=\tfrac{1}{2} m_1 v_1^2+\tfrac{1}{2} m_2 v_2^2. $ --- 
**10) What is the total kinetic energy before impact?**
 $ K_i=\tfrac{1}{2}(90)(10^2)+\tfrac{1}{2}(115)(8^2) =4500+3680 =8180\text{J}. $ --- 
**11) Which equation would you use for total kinetic energy after impact?**
 $ K_f=\tfrac{1}{2} (m_1+m_2), v_f^2. $ --- 
**12) What is the total kinetic energy after impact?**
 $ K_f=\tfrac{1}{2}(205)(6.28^2)\approx 4.04\times10^3\text{J}. $ --- 
**13) How much energy was absorbed at impact?**
 $ \Delta E = K_i-K_f = 8180-4040 \approx 4.14\times10^3\text{J}. $ 
**Answer:** The combined players move at about **6.28 m/s**, and approximately ** $ 4.14\times10^3 $ J** of energy is absorbed in the collision.",,J,Formula Selection
Impulse Momentum,9,Impulse Momentum 8,Two football players collide at right angles: a 90 kg ball carrier runs north at 10 m/s and a 115 kg defender runs east at 8 m/s. They stick together on impact assume negligible external horizontal impulse.,What is the total kinetic energy after impact?, $ 3900.0 $ , $ 5120.0 $ , $ 6400.0 $ , $ 4042.44 $ ,4,Too low.,Too high.,Too high.,Correct using $ v_f\approx6.28 \text{m/s} $ .,4137,4140,"**1) Which equation would you use to calculate momentum?**
Use linear momentum: $  p = m v. $ --- 
**2) What is the momentum of the ball carrier?**
 $p_{\text{carrier}} = (90)(10) = 900 kg\cdotm/s \text{(north)}.$ --- 
**3) What is the momentum of the defensive player?**
 $ p_{\text{defender}} = (115)(8) = 920 kg\cdotm/s \text{(east)}. $ --- 
**4) How do you find the resultant momentum magnitude before impact?** 
Momenta are at right angles, so use the Pythagorean theorem: $ | p|=\pm\sqrt{900^2+920^2}. $ --- 
**5) What is the magnitude of the momentum before impact?**
 $ | p|=\pm\sqrt{810{,}000+846{,}400} =\sqrt{1{,}656{,}400} \approx 1.287\times 10^3 kg\cdotm/s. $ --- 
**6) What is the magnitude of the momentum after impact?** 
They stick together and horizontal external impulse is negligible momentum is conserved: $ | p_f|=| p_i|\approx 1.287\times 10^3 kg\cdotm/s. $ --- 
**7) Which equation finds the common final speed after they stick?**
 $ v_f=\frac{| p|}{m_1+m_2}. $ --- 
**8) What is the final speed of the combined players?**
 $ v_f=\frac{1.287\times10^3}{90+115} =\frac{1.287\times10^3}{205} \approx 6.28\text{m/s}. $ --- 
**9) Which equation would you use for total kinetic energy before impact?**
 $ K_i=\tfrac{1}{2} m_1 v_1^2+\tfrac{1}{2} m_2 v_2^2. $ --- 
**10) What is the total kinetic energy before impact?**
 $ K_i=\tfrac{1}{2}(90)(10^2)+\tfrac{1}{2}(115)(8^2) =4500+3680 =8180\text{J}. $ --- 
**11) Which equation would you use for total kinetic energy after impact?**
 $ K_f=\tfrac{1}{2} (m_1+m_2) v_f^2. $ --- 
**12) What is the total kinetic energy after impact?**
 $ K_f=\tfrac{1}{2}(205)(6.28^2)\approx 4.04\times10^3\text{J}. $ --- 
**13) How much energy was absorbed at impact?**
 $ \Delta E = K_i-K_f = 8180-4040 \approx 4.14\times10^3\text{J}. $ 
**Answer:** The combined players move at about **6.28 m/s**, and approximately ** $ 4.14\times10^3 $ J** of energy is absorbed in the collision.",,J,Substitute & Calculate
Impulse Momentum,9,Impulse Momentum 8,Two football players collide at right angles: a 90 kg ball carrier runs north at 10 m/s and a 115 kg defender runs east at 8 m/s. They stick together on impact assume negligible external horizontal impulse.,How much energy was absorbed at impact?,,,,,,,,,,4137,4140,"**1) Which equation would you use to calculate momentum?**
Use linear momentum: $  p = m v. $ --- 
**2) What is the momentum of the ball carrier?**
 $p_{\text{carrier}} = (90)(10) = 900\text{kg\cdot \text{m/s}} \text{(north)}.$ --- 
**3) What is the momentum of the defensive player?**
 $ p_{\text{defender}} = (115)(8) = 920\text{kg\cdot \text{m/s}}\text{(east)}. $ --- 
**4) How do you find the resultant momentum magnitude before impact?** 
Momenta are at right angles, so use the Pythagorean theorem: $ | p|=\pm\sqrt{900^2+920^2}. $ --- 
**5) What is the magnitude of the momentum before impact?**
 $ | p|=\pm\sqrt{810{,}000+846{,}400} =\sqrt{1{,}656{,}400} \approx 1.287\times 10^3\text{kg\cdot \text{m/s}}. $ --- 
**6) What is the magnitude of the momentum after impact?** 
They stick together and horizontal external impulse is negligible momentum is conserved: $ | p_f|=| p_i|\approx 1.287\times 10^3\text{kg\cdot \text{m/s}}. $ --- 
**7) Which equation finds the common final speed after they stick?**
 $ v_f=\frac{| p|}{m_1+m_2}. $ --- 
**8) What is the final speed of the combined players?**
 $ v_f=\frac{1.287\times10^3}{90+115} =\frac{1.287\times10^3}{205} \approx 6.28~\text{m/s}. $ --- 
**9) Which equation would you use for total kinetic energy before impact?**
 $ K_i=\tfrac{1}{2} m_1 v_1^2+\tfrac{1}{2} m_2 v_2^2. $ --- 
**10) What is the total kinetic energy before impact?**
 $ K_i=\tfrac{1}{2}(90)(10^2)+\tfrac{1}{2}(115)(8^2) =4500+3680 =8180\text{J}. $ --- 
**11) Which equation would you use for total kinetic energy after impact?**
 $ K_f=\tfrac{1}{2} (m_1+m_2), v_f^2. $ --- 
**12) What is the total kinetic energy after impact?**
 $ K_f=\tfrac{1}{2}(205)(6.28^2)\approx 4.04\times10^3\text{J}. $ --- 
**13) How much energy was absorbed at impact?**
 $ \Delta E = K_i-K_f = 8180-4040 \approx 4.14\times10^3\text{J}. $ 
**Answer:** The combined players move at about **6.28 m/s**, and approximately ** $ 4.14\times10^3 $ J** of energy is absorbed in the collision.",,J,Final Answer
Impulse Momentum,10,Angular Momentum 2,A diver generates enough spring when she leaves the board to remain in the air for 1.2 seconds with an angular momentum of $ 39 \text{kg} m^2/s $ . How many revolutions can be achieved in the layout position with a moment of inertia of $ 7.45 \text{kg} m^2? $ ,Which equation would you use to calculate angular momentum?, $ p=r^{2}l^{2} $ , $ L=I\omega^{2} $ , $ L=\omega^{2}r $ , $ L=I\omega $ ,4,Not an angular momentum relation.,Squares $ \omega $ incorrectly  $ L $ is linear in $ \omega $ .,Dimensional mismatch.,Correct: $ L=I\omega $ .,0.98,1.02,"**1) Which equation would you use to calculate angular momentum?**
Use the rigid-body definition: $ L=I\omega. $ --- 
**2) Which equation would you use to calculate angular velocity?**
 For constant angular velocity over the flight time $ t $ : $ \omega=\frac{\theta}{t}. $ --- 
**3) What is the next step?**
Substitute $ \omega=\theta/t $ into $ L=I\omega $ and solve for the angular distance $ \theta $ : $ L=I\frac{\theta}{t}\quad\Rightarrow\quad \theta=\frac{L}{I}t. $ --- 
**4) What is the angular distance travelled in the layout position?**
 Given $ L=39\text{kg m}^2/\text{s} $ , $ I=7.45\text{kg m}^2 $ , $ t=1.2\text{s} $ : $ \omega=\frac{L}{I}=\frac{39}{7.45}\approx 5.2349\text{rad/s}, $ \theta=\omega t\approx (5.2349)(1.2)\approx 6.28\text{rad}. $ --- 
**5) How many revolutions can be achieved in the layout position?**
 $ N=\frac{\theta}{2\pi}\approx \frac{6.28}{6.2832}\approx 1.00\text{rev}. $ 
**Answer:** The diver rotates through about ** $ 6.28 $ rad $ \approx 1.00 $ revolution** in the layout position. $ ",,Revolutions,Formula Selection
Impulse Momentum,10,Angular Momentum 2,A diver generates enough spring when she leaves the board to remain in the air for 1.2 seconds with an angular momentum of $ 39 \text{kg} m^2/s $ . How many revolutions can be achieved in the layout position with a moment of inertia of $ 7.45 \text{kg} m^2? $ ,Which equation would you use to calculate angular velocity?, $ \omega=\dfrac{\theta}{t} $ , $ \omega=\theta t $ , $ \omega=mr^{2} $ , $ \omega=\dfrac{1}{2}\left(\dfrac{\theta}{t}\right) $ ,1,Correct definition of average angular velocity.,Multiplies instead of divides by time.,Not an angular velocity relation.,Extra $ 1/2 $ factor is Incorrect. ,0.98,1.02,"**1) Which equation would you use to calculate angular momentum?**
Use the rigid-body definition: $ L=I\omega. $ --- 
**2) Which equation would you use to calculate angular velocity?**
 For constant angular velocity over the flight time $ t $ : $ \omega=\frac{\theta}{t}. $ --- 
**3) What is the next step?**
Substitute $ \omega=\theta/t $ into $ L=I\omega $ and solve for the angular distance $ \theta $ : $ L=I\frac{\theta}{t}\quad\Rightarrow\quad \theta=\frac{L}{I}t. $ --- 
**4) What is the angular distance travelled in the layout position?**
 Given $ L=39\text{kg m}^2/\text{s} $ , $ I=7.45\text{kg m}^2 $ , $ t=1.2\text{s} $ : $ \omega=\frac{L}{I}=\frac{39}{7.45}\approx 5.2349\text{rad/s}, $ \theta=\omega t\approx (5.2349)(1.2)\approx 6.28\text{rad}. $ --- 
**5) How many revolutions can be achieved in the layout position?**
 $ N=\frac{\theta}{2\pi}\approx \frac{6.28}{6.2832}\approx 1.00\text{rev}. $ 
**Answer:** The diver rotates through about ** $ 6.28 $ rad $ \approx 1.00 $ revolution** in the layout position. $ ",,Revolutions,Formula Selection
Impulse Momentum,10,Angular Momentum 2,A diver generates enough spring when she leaves the board to remain in the air for 1.2 seconds with an angular momentum of $ 39 \text{kg} m^2/s $ . How many revolutions can be achieved in the layout position with a moment of inertia of $ 7.45 \text{kg} m^2? $ ,What is the next step?,sub in all known values,solve for the final rotation,substitute $ \theta/t $ for $ \omega $ in the momentum equation,Use the pythagorean theorem,3,Too soon first express $ \omega $ in terms of $ \theta $ and $ t $ .,We need an expression for $ \theta $ first.,Correct: from $ L=I\omega $ and $ \omega=\theta/t \Rightarrow L=I(\theta/t) $ .,Not a vector problem.,0.98,1.02,"**1) Which equation would you use to calculate angular momentum?**
Use the rigid-body definition: $ L=I\omega. $ --- 
**2) Which equation would you use to calculate angular velocity?**
 For constant angular velocity over the flight time $ t $ : $ \omega=\frac{\theta}{t}. $ --- 
**3) What is the next step?**
Substitute $ \omega=\theta/t $ into $ L=I\omega $ and solve for the angular distance $ \theta $ : $ L=I\frac{\theta}{t}\quad\Rightarrow\quad \theta=\frac{L}{I}t. $ --- 
**4) What is the angular distance travelled in the layout position?**
 Given $ L=39\text{kg m}^2/\text{s} $ , $ I=7.45\text{kg m}^2 $ , $ t=1.2\text{s} $ : $ \omega=\frac{L}{I}=\frac{39}{7.45}\approx 5.2349\text{rad/s}, $ \theta=\omega t\approx (5.2349)(1.2)\approx 6.28\text{rad}. $ --- 
**5) How many revolutions can be achieved in the layout position?**
 $ N=\frac{\theta}{2\pi}\approx \frac{6.28}{6.2832}\approx 1.00\text{rev}. $ 
**Answer:** The diver rotates through about ** $ 6.28 $ rad $ \approx 1.00 $ revolution** in the layout position. $ ",,Revolutions,Substitute & Calculate
Impulse Momentum,10,Angular Momentum 2,A diver generates enough spring when she leaves the board to remain in the air for 1.2 seconds with an angular momentum of $ 39 \text{kg} m^2/s $ . How many revolutions can be achieved in the layout position with a moment of inertia of $ 7.45 \text{kg} m^2? $ ,What is the angular distance travelled in the layout position?, $ 6.28 \text{rad} $ , $ 3.14 \text{rad} $ , $ 9.28 \text{rad} $ , $ 628 \text{rad} $ ,1,Correct,Half a turn only.,Too large.,Way too large.,0.98,1.02,"**1) Which equation would you use to calculate angular momentum?**
Use the rigid-body definition: $ L=I\omega. $ --- 
**2) Which equation would you use to calculate angular velocity?**
 For constant angular velocity over the flight time $ t $ : $ \omega=\frac{\theta}{t}. $ --- 
**3) What is the next step?**
Substitute $ \omega=\theta/t $ into $ L=I\omega $ and solve for the angular distance $ \theta $ : $ L=I\frac{\theta}{t}\quad\Rightarrow\quad \theta=\frac{L}{I}t. $ --- 
**4) What is the angular distance travelled in the layout position?**
 Given $ L=39\text{kg m}^2/\text{s} $ , $ I=7.45\text{kg m}^2 $ , $ t=1.2\text{s} $ : $ \omega=\frac{L}{I}=\frac{39}{7.45}\approx 5.2349\text{rad/s}, $ \theta=\omega t\approx (5.2349)(1.2)\approx 6.28\text{rad}. $ --- 
**5) How many revolutions can be achieved in the layout position?**
 $ N=\frac{\theta}{2\pi}\approx \frac{6.28}{6.2832}\approx 1.00\text{rev}. $ 
**Answer:** The diver rotates through about ** $ 6.28 $ rad $ \approx 1.00 $ revolution** in the layout position. $ ",,Revolutions,Substitute & Calculate
Impulse Momentum,10,Angular Momentum 2,A diver generates enough spring when she leaves the board to remain in the air for 1.2 seconds with an angular momentum of $ 39 \text{kg} m^2/s $ . How many revolutions can be achieved in the layout position with a moment of inertia of $ 7.45 \text{kg} m^2? $ ,How many revolutions can be achieved in the layout position?,,,,,,,,,,0.98,1.02,"**1) Which equation would you use to calculate angular momentum?**
Use the rigid-body definition: $ L=I\omega. $ --- 
**2) Which equation would you use to calculate angular velocity?**
 For constant angular velocity over the flight time $ t $ : $ \omega=\frac{\theta}{t}. $ --- 
**3) What is the next step?**
Substitute $ \omega=\theta/t $ into $ L=I\omega $ and solve for the angular distance $ \theta $ : $ L=I\frac{\theta}{t}\quad\Rightarrow\quad \theta=\frac{L}{I}t. $ --- 
**4) What is the angular distance travelled in the layout position?**
 Given $ L=39\text{kg m}^2/\text{s} $ , $ I=7.45\text{kg m}^2 $ , $ t=1.2\text{s} $ : $ \omega=\frac{L}{I}=\frac{39}{7.45}\approx 5.2349\text{rad/s}, $ \theta=\omega t\approx (5.2349)(1.2)\approx 6.28\text{rad}. $ --- 
**5) How many revolutions can be achieved in the layout position?**
 $ N=\frac{\theta}{2\pi}\approx \frac{6.28}{6.2832}\approx 1.00\text{rev}. $ 
**Answer:** The diver rotates through about ** $ 6.28 $ rad $ \approx 1.00 $ revolution** in the layout position. $ ",,Revolutions,Final Answer
Impulse Momentum,11,Angular Momentum 3,"A diver generates enough spring when she leaves the board to remain in the air for $ t=1.2, \text{s} $ with angular momentum $ L=39 kg\cdotm^2/\text{s} $ . In the tuck position the moment of inertia is $ I=2.475 kg\cdotm^2 $ . How many revolutions can she complete?",Which equation would you use to calculate angular momentum?, $ p=r^2 l^2 $ , $ L=I\omega^2 $ , $ L=\omega r^2 $ , $ L=I\omega $ ,4,Not correct. This is not a standard quantity for angular momentum.,"Not quite angular momentum is linear in $ \omega $ , not quadratic.",No $ r^2 $ does not appear here that s baked into $ I $ .,Correct: $ L=I\omega $ .,3,3,"**1) Which equation would you use to calculate angular momentum?** 
Use the rigid-body definition: $ L=I\omega. $ --- 
**2) Which equation would you use to calculate angular velocity?**
 Average angular velocity over the flight time $ t $ : $ \omega=\frac{\theta}{t}. $ --- 
**3) What is the next step?**
Substitute $ \omega=\theta/t $ into $ L=I\omega $ and solve for $ \theta $ : $ L=I\frac{\theta}{t} \Longrightarrow \theta=\frac{L}{I}t. $ --- 
**4) What is the angular distance travelled in the tuck position?**
 With $ L=39\text{kg m}^2/\text{s} $, $ I=2.475\text{kg m}^2 $ , $ t=1.2\text{s} $ : $ \omega=\frac{L}{I}=\frac{39}{2.475}\approx 15.758\text{rad/s}, $ \theta=\omega t\approx (15.758)(1.2)\approx 18.91\text{rad}. $ --- 
**5) How many revolutions can be achieved in the tuck position?**
 $ N=\frac{\theta}{2\pi}\approx \frac{18.91}{6.2832}\approx 3.01\text{rev} \approx 3 \text{revolutions}. $ 
**Answer:** In tuck, the diver rotates about ** $ 18.91 \text{rad} $ **, i.e., roughly **3.01 revolutions** ( **3** full turns). $ ",,Revolutions,Formula Selection
Impulse Momentum,11,Angular Momentum 3,"A diver generates enough spring when she leaves the board to remain in the air for $ t=1.2, \text{s} $ with angular momentum $ L=39 kg\cdotm^2/\text{s} $ . In the tuck position the moment of inertia is $ I=2.475 kg\cdotm^2 $ . How many revolutions can she complete?",Which equation would you use to calculate angular velocity?, $ \omega=\dfrac{\theta}{t} $ , $ \omega=\theta t $ , $ \omega=mr^2 $ , $ \omega=\tfrac{1}{2}\left(\dfrac{\theta}{t}\right) $ ,1,Correct: angular velocity is angle per time.,No this would have the wrong dimensions.,"No $ mr^2 $ is related to moment of inertia, not angular velocity.",No there is no $ \tfrac{1}{2} $ factor.,3,3,"**1) Which equation would you use to calculate angular momentum?** 
Use the rigid-body definition: $ L=I\omega. $ --- 
**2) Which equation would you use to calculate angular velocity?**
 Average angular velocity over the flight time $ t $ : $ \omega=\frac{\theta}{t}. $ --- 
**3) What is the next step?**
Substitute $ \omega=\theta/t $ into $ L=I\omega $ and solve for $ \theta $ : $ L=I\frac{\theta}{t} \Longrightarrow \theta=\frac{L}{I}t. $ --- 
**4) What is the angular distance travelled in the tuck position?**
 With $ L=39\text{kg m}^2/\text{s} $, $ I=2.475\text{kg m}^2 $ , $ t=1.2\text{s} $ : $ \omega=\frac{L}{I}=\frac{39}{2.475}\approx 15.758\text{rad/s}, $ \theta=\omega t\approx (15.758)(1.2)\approx 18.91\text{rad}. $ --- 
**5) How many revolutions can be achieved in the tuck position?**
 $ N=\frac{\theta}{2\pi}\approx \frac{18.91}{6.2832}\approx 3.01\text{rev} \approx 3 \text{revolutions}. $ 
**Answer:** In tuck, the diver rotates about ** $ 18.91 \text{rad} $ **, i.e., roughly **3.01 revolutions** ( **3** full turns). $ ",,Revolutions,Formula Selection
Impulse Momentum,11,Angular Momentum 3,"A diver generates enough spring when she leaves the board to remain in the air for $ t=1.2, \text{s} $ with angular momentum $ L=39 kg\cdotm^2/\text{s} $ . In the tuck position the moment of inertia is $ I=2.475 kg\cdotm^2 $ . How many revolutions can she complete?",What is the next step?,Sub in all known values,Solve for the final rotation,Substitute $ \theta/t $ for $ \omega $ in the momentum equation,Use the Pythagorean theorem,3,This is premature rewrite the equation first.,We need an expression for $ \theta $ before solving numerically.,Correct: use $ L=I\omega $ with $ \omega=\theta/t $ .,This is unrelated to this problem.,3,3,"**1) Which equation would you use to calculate angular momentum?** 
Use the rigid-body definition: $ L=I\omega. $ --- 
**2) Which equation would you use to calculate angular velocity?**
 Average angular velocity over the flight time $ t $ : $ \omega=\frac{\theta}{t}. $ --- 
**3) What is the next step?**
Substitute $ \omega=\theta/t $ into $ L=I\omega $ and solve for $ \theta $ : $ L=I\frac{\theta}{t} \Longrightarrow \theta=\frac{L}{I}t. $ --- 
**4) What is the angular distance travelled in the tuck position?**
 With $ L=39\text{kg m}^2/\text{s} $, $ I=2.475\text{kg m}^2 $ , $ t=1.2\text{s} $ : $ \omega=\frac{L}{I}=\frac{39}{2.475}\approx 15.758\text{rad/s}, $ \theta=\omega t\approx (15.758)(1.2)\approx 18.91\text{rad}. $ --- 
**5) How many revolutions can be achieved in the tuck position?**
 $ N=\frac{\theta}{2\pi}\approx \frac{18.91}{6.2832}\approx 3.01\text{rev} \approx 3 \text{revolutions}. $ 
**Answer:** In tuck, the diver rotates about ** $ 18.91 \text{rad} $ **, i.e., roughly **3.01 revolutions** ( **3** full turns). $ ",,Revolutions,Substitute & Calculate
Impulse Momentum,11,Angular Momentum 3,"A diver generates enough spring when she leaves the board to remain in the air for $ t=1.2, \text{s} $ with angular momentum $ L=39 kg\cdotm^2/\text{s} $ . In the tuck position the moment of inertia is $ I=2.475 kg\cdotm^2 $ . How many revolutions can she complete?",What is the angular distance travelled in the tuck position?, $ 6.28 \text{rad} $ , $ 3.14 \text{rad} $ , $ 18.91 \text{rad} $ , $ 628 \text{rad} $ ,3,"No $ 6.28, \text{rad} $ corresponds to about one turn, which is for the larger $ I $ (layout) case.",Too small by a factor of two.,Correct: $ \theta=\dfrac{L}{I}t=\dfrac{39}{2.475}\times1.2\approx18.91\text{rad} $ .,Much too large.,3,3,"**1) Which equation would you use to calculate angular momentum?** 
Use the rigid-body definition: $ L=I\omega. $ --- 
**2) Which equation would you use to calculate angular velocity?**
 Average angular velocity over the flight time $ t $ : $ \omega=\frac{\theta}{t}. $ --- 
**3) What is the next step?**
Substitute $ \omega=\theta/t $ into $ L=I\omega $ and solve for $ \theta $ : $ L=I\frac{\theta}{t} \Longrightarrow \theta=\frac{L}{I}t. $ --- 
**4) What is the angular distance travelled in the tuck position?**
 With $ L=39\text{kg m}^2/\text{s} $, $ I=2.475\text{kg m}^2 $ , $ t=1.2\text{s} $ : $ \omega=\frac{L}{I}=\frac{39}{2.475}\approx 15.758\text{rad/s}, $ \theta=\omega t\approx (15.758)(1.2)\approx 18.91\text{rad}. $ --- 
**5) How many revolutions can be achieved in the tuck position?**
 $ N=\frac{\theta}{2\pi}\approx \frac{18.91}{6.2832}\approx 3.01\text{rev} \approx 3 \text{revolutions}. $ 
**Answer:** In tuck, the diver rotates about ** $ 18.91 \text{rad} $ **, i.e., roughly **3.01 revolutions** ( **3** full turns). $ ",,Revolutions,Substitute & Calculate
Impulse Momentum,11,Angular Momentum 3,"A diver generates enough spring when she leaves the board to remain in the air for $ t=1.2, \text{s} $ with angular momentum $ L=39 kg\cdotm^2/\text{s} $ . In the tuck position the moment of inertia is $ I=2.475 kg\cdotm^2 $ . How many revolutions can she complete?",How many revolutions can be achieved in the tuck position?,,,,,,,,,,3,3,"**1) Which equation would you use to calculate angular momentum?** 
Use the rigid-body definition: $ L=I\omega. $ --- 
**2) Which equation would you use to calculate angular velocity?**
 Average angular velocity over the flight time $ t $ : $ \omega=\frac{\theta}{t}. $ --- 
**3) What is the next step?**
Substitute $ \omega=\theta/t $ into $ L=I\omega $ and solve for $ \theta $ : $ L=I\frac{\theta}{t} \Longrightarrow \theta=\frac{L}{I}t. $ --- 
**4) What is the angular distance travelled in the tuck position?**
 With $ L=39\text{kg m}^2/\text{s} $, $ I=2.475\text{kg m}^2 $ , $ t=1.2\text{s} $ : $ \omega=\frac{L}{I}=\frac{39}{2.475}\approx 15.758\text{rad/s}, $ \theta=\omega t\approx (15.758)(1.2)\approx 18.91\text{rad}. $ --- 
**5) How many revolutions can be achieved in the tuck position?**
 $ N=\frac{\theta}{2\pi}\approx \frac{18.91}{6.2832}\approx 3.01\text{rev} \approx 3 \text{revolutions}. $ 
**Answer:** In tuck, the diver rotates about ** $ 18.91 \text{rad} $ **, i.e., roughly **3.01 revolutions** ( **3** full turns). $ ",,Revolutions,Final Answer
